༄༅།། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།	The Way of the Bodhisattva The Excellence of Bodhichitta Homage to all Buddhas and Bodhisattvas.
བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་།། ཕྱག་འོས་ཀུན་ལའང་གུས་པས་ཕྱག་འཚལ་ཏེ།།	To those who go in bliss, the dharmakāya they possess, and all their heirs, To all those worthy of respect, I reverently bow.
བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི།། ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ།།	According to the scriptures, I shall now in brief describe The practice of the Bodhisattva discipline.
སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད།། སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ།།	Here I shall say nothing that has not been said before, And in the art of prosody I have no skill.
དེ་ཕྱིར་གཞན་དོན་བསམ་པའང་བདག་ལ་མེད།། རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམ།།	I therefore have no thought that this might be of benefit to others; I wrote it only to habituate my mind.
དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས།། འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ།།	My faith will thus be strengthened for a little while, That I might grow accustomed to this virtuous way.
བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་།། ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར།།	But others who now chance upon my words May profit also, equal to myself in fortune.
དལ་འབྱོར་འདི་ནི་རྙེད་པར་ཤིན་ཏུ་དཀའ།། སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་པར་གྱུར་པ་ལ།།	So hard to find the ease and wealth Whereby the aims of beings may be gained.
གལ་ཏེ་འདི་ལ་ཕན་པ་མ་བསྒྲུབས་ན།། ཕྱིས་འདི་ཡང་དག་འབྱོར་བར་ག་ལ་འགྱུར།།	If now I fail to turn it to my profit, How could such a chance be mine again?
ཇི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ན།། གློག་འགྱུ་སྐད་ཅིག་རབ་སྣང་སྟོན་པ་ལྟར།། དེ་བཞིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན།། འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་།།	Just as on a dark night black with clouds, The sudden lightning glares and all is clearly shown, Likewise rarely, through the Buddhas’ power, Virtuous thoughts rise, brief and transient, in the world.
དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག། སྡིག་པ་སྟོབས་ཆེན་ཤིན་ཏུ་མི་བཟད་པ།།	Virtue, thus, is weak; and always Evil is of great and overwhelming strength.
དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་སེམས་མིན་པ།། དགེ་གཞན་གང་གིས་ཟིལ་གྱིས་གནོན་པར་འགྱུར།།	Except for perfect bodhichitta, What other virtue is there that can lay it low?
