Root,Commentary
བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །, །ཅུང་ཟད་རྟོགས་པར་དཀའ་བའི་ཚིག་ཡོད་པ། །དེ་དག་གསལ་བར་རྟོགས་པར་བྱ་ཕྱིར་འདིར། །ད་ནི་བདག་གིས་ཅུང་ཟད་ཙམ་འདི་བྲི། །གྲགས་པ་རྣམས་ཀྱིས་བྱས་པའི་འགྲེལ་པ་ཡོད་མོད་ཀྱི། །དེ་ལྟར་ཁོ་བོས་ཚུལ་བཞིན་བྲི་བར་བྱ། །གང་ཞིག་ཟོལ་མེད་བློ་ལྡན་བྱེ་བྲག་ཤེས། །དེ་ཡིས་འདི་ཡི་བྱེ་བྲག་ཤེས་པར་འགྱུར། །འདིར་སློབ་དཔོན་ཞི་བའི་ལྷ་གསུང་རབ་ཀྱི་དེ་ཁོ་ན་ཉིད་རིག་པ། རང་དང་གཞན་གྱི་བདེ་བ་ལ་རེ་བ་མེད་པ་དང་འདོད་པ་དང་ལྡན་པ་བྱང་ཆུབ་སེམས་དཔའི་ཡོན་ཏན་ལ་ངེས་པར་གནས་པས། གཞན་རྣམས་ལ་ཡོན་ཏན་དེ་བསྐྱེད་པར་བྱ་བའི་ཕྱིར། བྱང་ཆུབ་ཀྱི་སྤྱོད་པ་ལ་འཇུག་པ་མཛད་པར་བཞེད་ནས། བདེ་གཤེགས་ཞེས་བྱ་བ་ལ་སོགས་པའི་ཚིགས་སུ་བཅད་པ་གསུངས་སོ། །ཚིགས་སུ་བཅད་པ་འདི་ལ་དོན་དྲུག་གིས་བསྟན་ཏེ། དཀོན་མཆོག་གསུམ་དང་ཉན་ཐོས་དང་མཁན་པོ་ལ་སོགས་པ་རྣམས་ལ་ཕྱག་བཙལ་བ་དང་། བརྗོད་པར་བྱ་བ་དང་། འབྲེལ་པ་དང་། དགོས་པ་དང་། རང་དགའི་སྐྱོན་སྤང་བ་དང་། ཟློས་པའི་སྐྱོན་སྤང་བའོ། ཕྱག་བཙལ་བ་ནི་བྱ་བའི་ཁྱད་པར་ཉིད་ཀྱིས་བསྟན་པའོ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ཞེས་པ་ནི་བརྗོད་པར་བྱ་བའི་ཚིག་གོ། །བསྟན་པར་བྱ་ཞེས་པ་ནི་དགོས་པ་མངོན་པར་བརྗོད་པ་དང་། འབྲེལ་པ་ནི་ཤུགས་ལས་ཤེས་པར་བྱའོ། །གསུང་རབ་ཀྱི་ཚིག་ཅེས་པ་ནི་རང་དགའི་སྐྱོན་སྤང་བའོ། །བཏུས་པ་ཞེས་པ་ནི་ཟློས་པའི་སྐྱོན་སྤང་བ་སྟེ། དེ་དག་ནི་བསྡུས་པའི་དོན་ཏོ། །ཡན་ལག་གི་དོན་ནི། བདེ་བར་གཤེགས་པ་ཞེས་བྱ་བ་ལ་སོགས་པ་ལ། བདེ་བའི་སྒྲ་ནི་མཛེས་པ་ལ་སོགས་པའི་དོན་ཏོ། །ཉོན་མོངས་པ་ལ་སོགས་པའི་སྒྲིབ་པ་སྤངས་པས་མཛེས་པར་གཤེགས་པས་ན་བདེ་བར་གཤེགས་པ་སྟེ། བུ་མོ་གཟུགས་མཛེས་པ་བཞིན་ནོ། །དེ་ཁོ་ན་ཉིད་མི་གསལ་བར་བྱེད་པའི་མ་རིག་པ་ལ་སོགས་པ་རབ་ཏུ་བསལ་ནས་ཕྱིར་མི་ལྡོག་པར་གཤེགས་པའི་ཕྱིར་ན་ཡང་སྟེ། རིམས་ནད་ལེགས་པར་བྱང་བ་བཞིན་ནོ། །བག་ཆགས་ཐམས་ཅད་རབ་ཏུ་བསལ་ནས་ཇི་སྲིད་དུ་འགྲོ་བར་བྱ་བའི་མཐར་ཕྱིན་པས་ན་ཡང་སྟེ། བུམ་པ་ལེགས་པར་གང་བ་བཞིན་ནོ། །དེ་ལྟ་བུའི་བདེ་བར་གཤེགས་པ་ལ་གུས་པར་ཕྱག་བཙལ་ནས། བདེ་བར་གཤེགས་པའི་སྲས་ཀྱི་སྡོམ་པ་ལ་འཇུག་པ་བསྟན་པར་བྱའོ་ཞེས་བྱ་བར་འབྲེལ་ཏོ།།སྲས་བཅས་ཞེས་བྱ་བ་ནི་རྒྱལ་བ་རྣམས་ཀྱི་སྲས་པོས་རབ་ཏུ་དགའ་བ་ལ་སོགས་པ་ཐོབ་པའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་རྣམས་དང་བཅས་ཏེ་སྟབས་གཅིག་ཏུའོ། །དེ་དག་གིས་ནི་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་བསྟན་ཏོ། །ཆོས་ཀྱི་སྐུ་མངའ་ཞེས་པ་ནི་ལུང་དང་རྟོགས་པའི་བདག་ཉིད་ཀྱི་ཆོས་ཀྱི་སྐུ་མངའ་བ་དང་སྟབས་གཅིག་ཏུའོ། །ཆོས་ཀྱི་ཚོགས་བཅས་ཞེས་པའི་ཚིག་གིས་ནི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་ཡང་བརྗོད་དེ། ཉན་ཐོས་ལ་སོགས་པ་ཕྱག་བྱ་བའི་འོས་སུ་གྱུར་པ་མ་ལུས་པ་ལ་ཕྱག་བྱས་པའོ། །ཅི་སྟེ་སངས་རྒྱས་ཀྱི་རྗེས་ལ་ཆོས་ལ། དེའི་རྗེས་ལ་དགེ་འདུན་ལའོ་ཞེས་བསྟན་པར་བྱ་བ་ལ་ཅི་སྟེ་གོ་རིམས་བཟློག་ནས་བསྟན་ཞེ་ན། ཚིགས་སུ་བཅད་པ་འབྲེལ་པར་བྱ་བའི་ཕྱིར་རོ། །བདེ་བར་གཤེགས་པའི་བདག་ཉིད་ཀྱི་ཆོས་ཀྱི་དེའི་དབང་གིས་བསྐྱེད་པ་ནི་བདེ་བར་གཤེགས་པའི་སྲས་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་གི་སྡོམ་པའམ་སྡོམ་པར་བྱེད་པས་ན་སྡོམ་པ་སྟེ། བྱང་ཆུབ་ཀྱི་སེམས་གཟུང་བ་སྔོན་དུ་འགྲོ་བ་ཅན་གྱིས་བྱང་ཆུབ་སེམས་དཔའི་བསླབ་པ་ཡང་དག་པར་ལེན་པ་དེ་ལ། གང་བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་ཕན་ཡོན་ལ་སོགས་པ་དེས་འཇུག་པར་བྱེད་པའོ། །ཅི་སྟེ་ཁྱོད་ཀྱིས་རང་དགར་བརྩམས་པ་ལ་སུས་འཛིན་པར་བྱེད་སྙམ་པ་ལ་བརྗོད་པ། གསུང་རབ་ཀྱི་ཚིག་སྟེ་ལུང་ལས་མ་འདས་པའོ། །ཅི་སྟེ་ལུང་ལ་དད་པ་རྣམས་དེ་ཉིད་ལ་འཇུག་པར་རག་མོད། ཁྱོད་ཀྱིས་ཅི་བསྟན་ཞེ་ན། བརྗོད་པ་བཏུས་པ་སྟེ་མདོར་བསྡུས་ནས་སོ། །ཅི་ལུང་བཞིན་དུ་ཞེས་སྨོས་པས་དོན་ལ་ཁྱད་པར་མེད་པའི་ཕྱིར་ཇི་ལྟར་གཞན་དག་འཇུག་པར་བྱེད་སྙམ་པ་ལ།
སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །,སྔོན་ཆད་མ་བྱུང་བ་ནི་འདིར་བརྗོད་མེད་ཅེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། ནི་ཞེས་བྱ་བ་ནི་ངེས་པར་གཟུང་བའོ། །སྡུད་སྦྱོར་ནི་ཚིག་མཛེས་ཤིང་འཇེབས་པར་དགོད་པའོ། །དེའི་ཕྱིར་ཞེས་པ་ནི་སྔར་མ་བྱུང་བ་བརྗོད་པ་དང་། སྡུད་སྦྱོར་མཁས་པ་མེད་པ་དེའི་ཕྱིར་རོ། །འོ་ན་ཅིའི་དོན་དུ་བྱས་ཤེ་ན། རང་གི་ཞེས་བྱ་བ་སྨོས་ཏེ། རང་གི་ཞེས་ཡིད་ལ་བྱང་ཆུབ་ཀྱི་སེམས་བསྒོམ་པར་བྱ་བའི་ཕྱིར་ཏེ། བསླབ་པར་བྱ་བའི་ཕྱིར་རོ། །དེ་ཉིད་བསྟན་པའི་ཕྱིར་བདག་གིས་ཞེས་སྨོས་ཏེ།
དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །,དགེ་བ་ནི་བྱང་ཆུབ་ཀྱི་སེམས་སོ། །དད་པའི་ཤུགས་ཏེ་དད་པའི་སྟོབས་འཕེལ་བར་འགྱུར་རོ། །རེ་ཞིག་ཅེས་བྱ་བའི་སྒྲས་ནི་གཞན་གྱི་དོན་ལ་རེ་ལྟོས་ཡོད་པར་བསྟན་པའི་ཕྱིར་སྨོས་ཏེ། ཅི་སྟེ་ཞེས་སྨོས་ཏེ། བདག་དང་སྐལ་བ་མཉམ་པ་ནི་སྐལ་བ་མཚུངས་པའོ། །སྡོམ་པ་ལ་འཇིག་པར་བྱེད་པའི་རྒྱུ་བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་ཕན་ཡོན་བརྗོད་པར་བཞེད་ནས།
དལ་འབྱོར་འདི་ནི་རྙེད་པར་ཤིན་ཏུ་དཀའ། །སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་པར་གྱུར་པ་ལ། །གལ་ཏེ་འདི་ལ་ཕན་པ་མ་བསྒྲུབས་ན། །ཕྱིས་འདི་ཡང་དག་འབྱོར་པར་ག་ལ་འགྱུར། །,སྐབས་སུ་བབ་པའི་ཚིག་དལ་འབྱོར་ཞེས་སྨོས་ཏེ། དལ་འབྱོར་ནི་མི་ཁོམ་པ་བརྒྱད་ལས་རྣམ་པར་གྲོལ་བའི་མིའི་དངོས་པོའོ། །མི་ཁོམ་པ་ནི་འདི་དག་རྣམས་ཏེ། དམྱལ་བ་ཡི་དྭགས་བྱོལ་སོང་དང་། །ཀླ་ཀློ་ཚེ་རིངས་ལྷ་དང་ནི། །ལོག་ལྟ་སངས་རྒྱས་མེད་པ་དང་། །ལྐུགས་པ་ལ་སོགས་མི་ཁོམ་བརྒྱད། །
ཇི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ན། །གློག་འགྱུ་སྐད་ཅིག་བར་སྣང་སྟོན་པ་ལྟར། །དེ་བཞིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན། །འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་། །,གང་ན་མཚན་མོ་མུན་ནག་སྤྲིན་དུ་གྱུར་པ་དེ་ནའམ། ཡང་ན་དེ་ནས་སོ། །དེ་བཞིན་དུ་འཁོར་བའི་མུན་ནག་སྡིག་པའི་སྤྲིན་རུམ་དུ་སངས་རྒྱས་ཀྱི་གློག་གི་མཐུས་བསོད་ནམས་ཀྱི་བློ་གྲོས་ཐང་འགའ་སྟེ་སྐད་ཅིག་ཙམ་འབྱུང་བའོ། །
དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག། །སྡིག་པ་སྟོབས་ཆེན་ཤིན་ཏུ་མི་བཟད་པ། །དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་སེམས་མིན་པ། །དགེ་གཞན་གང་གིས་ཟིལ་གྱིས་གནོན་པར་འགྱུར། །,གང་གི་ཕྱིར་དེ་ལྟ་ཡིན་པ་དེ་ཉིད་ཀྱི་ཕྱིར། དགེ་བ་ཉམ་ཆུང་བ་ཉིད་ལ་རྟག་པའོ། །སྡིག་པའི་སྟོབས་ནི་ནུས་པའོ། །ཆེན་པོ་ནི་མི་ཁོམ་པའོ། །ཤིན་ཏུ་མི་བཟད་པ་ནི་འཇིགས་པར་བྱེད་པའོ། །གལ་ཏེ་སྟོབས་ཆེན་པོ་ཡིན་དུ་ཟིན་མོད། དེ་ལྟ་ན་ཡང་བསོད་ནམས་གཞན་གྱིས་རྒྱལ་བར་བྱེད་དོ་ཞེས་དོགས་པ་ལ། དེ་ནི་ཞེས་བྱ་བ་སྨོས་ཏེ། མིན་པ་ཞེས་པ་ནི་རྟག་པའི་མཐའ་བཟུང་བའོ། །ཡང་ན་བར་ཞེས་པ་མི་སྲིད་པའོ། །བྱང་ཆུབ་པ་ནི་སངས་རྒྱས་ཉིད་དོ། །སེམས་ནི་སྙིང་རྗེའི་སེམས་སོ། །གལ་ཏེ་བྱང་ཆུབ་ཀྱི་སེམས་དེ་མེད་ན། དགེ་བ་གཞན་གང་གིས་ཟིལ་གྱིས་ནོན་པར་འགྱུར་ཏེ་མི་སྲིད་དོ་ཞེས་བྱ་བའོ། །འདིའི་ཕྱིར་ཡང་བླང་བར་བྱའོ་ཞེས་བསྟན་པར་བྱ་བའི་ཕྱིར།
བསྐལ་པ་དུ་མར་རབ་དགོངས་མཛད་པ་ཡི། །ཐུབ་དབང་རྣམས་ཀྱིས་འདི་ཉིད་ཕན་པར་གཟིགས། །འདིས་ནི་ཚད་མེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས། །བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད། །,བསྐལ་པ་ཞེས་སྨོས་ཏེ། བསྐལ་པ་ཞེས་བྱ་བ་ནི་ཐམས་ཅད་དཔག་ཚད་ཕྱེད་ཕྱེད་པ་ལ་ཀ་ཤི་ཀའི་རས་ཀྱིས་ལོ་བརྒྱ་བརྒྱ་ན་ཕོགས་རེ་ཕྱགས་པས་ནམ་ཟད་པར་འགྱུར་བ་དེ་ཙམ་ན་བསྐལ་པ་བར་མའོ། །བར་གྱི་བསྐལ་པ་བརྒྱད་ཅུ་ཐམས་ཅད་པ་ན་བསྐལ་པ་ཆེན་པོའོ། །གང་གི་ཕྱིར་བྱང་ཆུབ་ཀྱི་སེམས་དེ་ཁོ་ན་དེ་ལ་ཕན་པ་ཡིན་སྙམ་པ་ལ། འདི་ཉིད་ཅེས་སྨོས་ཏེ། གང་གི་ཕྱིར་བདེ་བླག་ཉིད་དུ་སྟེ། སྐྲ་འབལ་བ་ལ་སོགས་པའི་དཀའ་ལས་མེད་པར་རོ། །བདེ་མཆོག་ནི་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་སེམས་སོ། །ཐོབ་པར་བྱེད་པ་ནི་རབ་ཀྱི་མཐར་ཕྱིན་གྱི་བར་དུ་འབྲེལ་བར་བྱེད་ཅིང་འཁོར་བའི་སྡུག་བསྔལ་ལས་འདོན་ཅིང་ཐར་བར་བྱེད་པའོ། །བྱམས་པའི་སྟོབས་ལ་སོགས་པའི་གཏམ་རྒྱུད་ནི་གཞན་ལ་ཕན་པར་འགྱུར་བ་འདོད་པའི་བདེ་བ་ཉིད་བདེ་བར་སྒྲོ་བཏགས་པའི་ཕྱིར་རོ། །འདིའི་ཕྱིར་ཡང་གཏང་བར་མི་བྱའོ་ཞེས་བསྟན་པའི་ཕྱིར།
སྲིད་པའི་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་། །སེམས་ཅན་མི་བདེ་བསལ་བར་འདོད་པ་དང་། །བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་པར་འདོད་པས་ཀྱང་། །བྱང་ཆུབ་སེམས་ཉིད་རྟག་ཏུ་གཏང་མི་བྱ། །,སྲིད་པའི་ཞེས་བྱ་བ་སྨོས་ཏེ། ལུང་ལས་མི་རྟག་པའི་ཕྱིར། གཞོམ་པར་འདོད་པའོ་ཞེས་འབྱུང་བས་ན་གཞོམ་པར་འདོད་པའོ། །ཀྱང་གི་སྒྲ་ནི་མི་བདེ་བ་ཞེས་པའི་མཐར་ཡང་ངོ་། །མི་བདེ་བ་ནི་བྲེལ་ཞིང་ཕོངས་པའོ། །ཡོན་ཏན་གྱི་ཁྱད་པར་འདིའི་ཕྱིར་ཡང་གཟུང་བར་བྱའོ་ཞེས་བསྟན་པའི་ཕྱིར་
བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས། །འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས། །བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །,འཁོར་བ་ཞེས་བྱ་བ་སྨོས་ཏེ། འཁོར་བ་ཉིད་བཙོན་རའོ། །བསྡམས་པ་ནི་དེར་འདོད་ཆགས་ལ་སོགས་པས་བཅིངས་པའོ། །ཉམ་ཐག་པ་ནི་འདིར་ཤིན་ཏུ་ཉེན་པའོ། །གང་འཇིག་རྟེན་ལྷ་དང་མིར་བཅས་པས་ཕྱག་བྱ་བ་དང་། བསྟོད་ཅིང་བཀུར་བར་ཡང་ངོ་། །ཡང་ན་བཅས་པའི་སྒྲ་ནི་ཞེས་བྱ་བ་སྟེ། བྱང་ཆུབ་སེམས་དཔའ་དེའོ། །འགྱུར་ཞེས་པ་ནི་འདས་པའི་ཚིག་ཁ་སྐོང་བའོ། །
གསེར་འགྱུར་རྩི་ཡི་རྣམ་པ་མཆོག་ལྟ་བུ། །མི་གཙང་ལུས་འདི་བླངས་ནས་རྒྱལ་བའི་སྐུ། །རིན་ཆེན་རིང་ཐང་མེད་པར་བསྒྱུར་བས་ན། །བྱང་ཆུབ་སེམས་ཞེས་བྱ་བ་རབ་བརྟན་ཟུང་། །,ད་ནི་ཡང་དག་པར་བསྐུལ་བའི་ཕྱིར། མི་གཙང་ཞེས་སྨོས་ཏེ། རིན་ཐང་མེད་པའི་ཡིད་བཞིན་གྱི་ནོར་བུ་དོན་ཆེན་པོར་འགྱུར་བའོ། །གསེར་འགྱུར་རྩི་ཡི་རྣམ་པ་ནི་གསེར་འགྱུར་རྩིའི་བྱེ་བྲག་གོ། །སྒྱུར་བས་ཞེས་པ་ནི་ངེས་པར་སྒྱུར་བར་བྱེད་པའོ། །དེས་ན་བདག་གི་དོན་དུ་ཡང་གཟུང་བར་བྱའོ་ཞེས་བསྟན་པར་བྱའོ། །
