བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །	I prostrate with respect to the sugatas, Who have the dharmakaya, and their offspring, And also to all worthy of veneration. I'll teach in brief, according to the scriptures, The way to enter the bodhisattva's vows.

Glossary:
བདེ་གཤེགས་	Sugata	An epithet for a Buddha, meaning "one who has gone to bliss" or "well-gone one"
ཆོས་ཀྱི་སྐུ་	Dharmakaya	The "truth body" or ultimate nature of a Buddha
སྲས་	Offspring	Spiritual heirs or disciples of the Buddha
ཕྱག་འཚལ་	Prostrate	To bow down in reverence or respect
སྡོམ་	Vows	Ethical precepts or commitments in Buddhist practice
བོ་དྷི་སཏྭ་	Bodhisattva	A being who seeks enlightenment for the benefit of all sentient beings
ལུང་	Scriptures	Authoritative Buddhist texts or teachings
----------------------------------------------------------------------------------------------------
སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །	I won't say anything not said before, Nor have I any skill in poetry. Thus I have not intended this for others— I've written it to cultivate my mind.

Glossary:
སྔོན་ཆད་མ་བྱུང་བ	not said before	Something that has not been previously stated or expressed
སྡེབ་སྦྱོར	poetry	The art of composing poems
གཞན་དོན	for others	For the benefit or purpose of other people
རང་གི་ཡིད	my mind	One's own mind or thoughts
བསྒོམ	cultivate	To develop or improve through practice or study
བརྩམས	written	Composed or created in written form
----------------------------------------------------------------------------------------------------
དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །	To cultivate virtue, the power of my faith will increase for now through these. If others with fortune equal to mine see these, it will become meaningful.

Glossary:
དགེ་བ་	virtue	moral excellence or righteousness
བསྒོམ་	cultivate	to develop or improve through practice
དད་པ	faith	strong belief or trust
ཤུགས	power	strength or force
སྐལ་བ་	fortune	luck or destiny
དོན་ཡོད་	meaningful	having significance or purpose
----------------------------------------------------------------------------------------------------
དལ་འབྱོར་འདི་ནི་རྙེད་པར་ཤིན་ཏུ་དཀའ། །སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་པར་གྱུར་པ་ལ། །གལ་ཏེ་འདི་ལ་ཕན་པ་མ་བསྒྲུབས་ན། །ཕྱིས་འདི་ཡང་དག་འབྱོར་པར་ག་ལ་འགྱུར། །	This precious human life is extremely difficult to obtain. Having gained the opportunity to accomplish the purpose of beings, if I do not achieve benefit in this life, how will I ever attain such a perfect opportunity again?

Glossary:
དལ་འབྱོར་	Precious human life	A rare and valuable human existence with freedoms and endowments
སྐྱེས་བུའི་དོན་	Purpose of beings	The goal or aim of sentient beings
ཕན་པ་	Benefit	Advantage or good
ཡང་དག་འབྱོར་པ་	Perfect opportunity	A genuine or authentic chance or favorable circumstance
----------------------------------------------------------------------------------------------------
ཇི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ན། །གློག་འགྱུ་སྐད་ཅིག་བར་སྣང་སྟོན་པ་ལྟར། །དེ་བཞིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན། །འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་། །	Just as between the clouds on pitch-black nights, Lightning reveals the heavens for an instant, Likewise, through the buddhas' power, Thoughts of the world's merits and wisdom occasionally arise.

Glossary:
མཚན་མོ་	night	The period of darkness between sunset and sunrise
མུན་ནག	pitch-black	Extremely dark or gloomy
སྤྲིན་	clouds	Visible mass of water droplets suspended in the atmosphere
གློག་འགྱུ་	lightning	The flash of light seen in the sky during a thunderstorm
སྐད་ཅིག	instant	A very short period of time
བར་སྣང་	heavens/sky	The expanse of space that appears above the earth
སངས་རྒྱས་	buddhas	Enlightened beings in Buddhism
མཐུ་	power	Ability or capacity to do something
འཇིག་རྟེན་	world	The earth and all its inhabitants
བསོད་ནམས་	merits	Good deeds or qualities deserving praise or reward
བློ་གྲོས་	wisdom	The quality of having experience, knowledge, and good judgment
ཐང་འགའ་	occasionally	Happening or occurring sometimes but not often
----------------------------------------------------------------------------------------------------
དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག། །སྡིག་པ་སྟོབས་ཆེན་ཤིན་ཏུ་མི་བཟད་པ། །དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་སེམས་མིན་པ། །དགེ་གཞན་གང་གིས་ཟིལ་གྱིས་གནོན་པར་འགྱུར། །	Thus virtues are perpetually weak; The powers of misdeeds are terribly dreadful. Besides the wish for perfect enlightenment, What other virtue triumphs over them?

Glossary:
དགེ་བ	virtue	A morally good or righteous quality or action
སྡིག་པ	misdeed	A wicked or evil act
རྫོགས་པའི་བྱང་ཆུབ	perfect enlightenment	Complete spiritual awakening or understanding
ཟིལ་གྱིས་གནོན་པ	triumph over	To overcome or defeat completely
----------------------------------------------------------------------------------------------------
བསྐལ་པ་དུ་མར་རབ་དགོངས་མཛད་པ་ཡི། །ཐུབ་དབང་རྣམས་ཀྱིས་འདི་ཉིད་ཕན་པར་གཟིགས། །འདིས་ནི་ཚད་མེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས། །བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད། །	The lords of sages, who have contemplated for many aeons, see just this will help. Immeasurable multitudes of beings through this will gain the sublime bliss with ease.

Glossary:
བསྐལ་པ	aeon	A very long period of time
ཐུབ་དབང་	lord of sages	A title for Buddha or enlightened beings
སྐྱེ་བོ	beings	Living creatures or sentient beings
བདེ་མཆོག	sublime bliss	The highest state of happiness or enlightenment
བདེ་བླག	ease	Without difficulty or effort
----------------------------------------------------------------------------------------------------
སྲིད་པའི་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་། །སེམས་ཅན་མི་བདེ་བསལ་བར་འདོད་པ་དང་། །བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་པར་འདོད་པས་ཀྱང་། །བྱང་ཆུབ་སེམས་ཉིད་རྟག་ཏུ་གཏང་མི་བྱ། །	Those who wish to destroy the hundreds of sufferings of existence, who desire to dispel the unhappiness of beings, and who wish to experience many hundreds of joys, should never forsake bodhichitta.

Glossary:
སྲིད་པ	existence	the state of being in the cycle of birth, death, and rebirth
སྡུག་བསྔལ	suffering	physical or mental pain and distress
སེམས་ཅན	beings	living creatures, sentient beings
མི་བདེ	unhappiness	state of not being happy or content
བདེ	joy	a feeling of great pleasure and happiness
བྱང་ཆུབ་སེམས	bodhichitta	the wish to attain enlightenment for the benefit of all sentient beings
གཏང་མི་བྱ	should not forsake	should not abandon or give up
----------------------------------------------------------------------------------------------------
བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས། །འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས། །བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །	If they rouse bodhichitta, in an instant the wretched, fettered in samsara's prison, are named the offspring of the sugatas and revered in the worlds of gods and humans.

Glossary:
བྱང་ཆུབ་སེམས	Bodhichitta	The awakened mind; the aspiration to attain enlightenment for the benefit of all beings
འཁོར་བ	Samsara	The cycle of rebirth and suffering in Buddhist philosophy
བདེ་གཤེགས	Sugata	An epithet for Buddha, meaning "one who has gone to bliss"
འཇིག་རྟེན	World	The mundane world or universe
ལྷ་མི	Gods and humans	Celestial beings and human beings
----------------------------------------------------------------------------------------------------
