བདེ་གཤེགས་	Sugata	An epithet for a Buddha, meaning "one who has gone to bliss" or "well-gone one"
ཆོས་ཀྱི་སྐུ་	Dharmakaya	The "truth body" or ultimate nature of a Buddha
སྲས་	Offspring	Spiritual heirs or disciples of the Buddha
ཕྱག་འཚལ་	Prostrate	To bow down in reverence or respect
སྡོམ་	Vows	Ethical precepts or commitments in Buddhist practice
བོ་དྷི་སཏྭ་	Bodhisattva	A being who seeks enlightenment for the benefit of all sentient beings
ལུང་	Scriptures	Authoritative Buddhist texts or teachings
སྔོན་ཆད་མ་བྱུང་བ	not said before	Something that has not been previously stated or expressed
སྡེབ་སྦྱོར	poetry	The art of composing poems
གཞན་དོན	for others	For the benefit or purpose of other people
རང་གི་ཡིད	my mind	One's own mind or thoughts
བསྒོམ	cultivate	To develop or improve through practice or study
བརྩམས	written	Composed or created in written form
དགེ་བ་	virtue	moral excellence or righteousness
བསྒོམ་	cultivate	to develop or improve through practice
དད་པ	faith	strong belief or trust
ཤུགས	power	strength or force
སྐལ་བ་	fortune	luck or destiny
དོན་ཡོད་	meaningful	having significance or purpose
དལ་འབྱོར་	Precious human life	A rare and valuable human existence with freedoms and endowments
སྐྱེས་བུའི་དོན་	Purpose of beings	The goal or aim of sentient beings
ཕན་པ་	Benefit	Advantage or good
ཡང་དག་འབྱོར་པ་	Perfect opportunity	A genuine or authentic chance or favorable circumstance
མཚན་མོ་	night	The period of darkness between sunset and sunrise
མུན་ནག	pitch-black	Extremely dark or gloomy
སྤྲིན་	clouds	Visible mass of water droplets suspended in the atmosphere
གློག་འགྱུ་	lightning	The flash of light seen in the sky during a thunderstorm
སྐད་ཅིག	instant	A very short period of time
བར་སྣང་	heavens/sky	The expanse of space that appears above the earth
སངས་རྒྱས་	buddhas	Enlightened beings in Buddhism
མཐུ་	power	Ability or capacity to do something
འཇིག་རྟེན་	world	The earth and all its inhabitants
བསོད་ནམས་	merits	Good deeds or qualities deserving praise or reward
བློ་གྲོས་	wisdom	The quality of having experience, knowledge, and good judgment
ཐང་འགའ་	occasionally	Happening or occurring sometimes but not often
དགེ་བ	virtue	A morally good or righteous quality or action
སྡིག་པ	misdeed	A wicked or evil act
རྫོགས་པའི་བྱང་ཆུབ	perfect enlightenment	Complete spiritual awakening or understanding
ཟིལ་གྱིས་གནོན་པ	triumph over	To overcome or defeat completely
བསྐལ་པ	aeon	A very long period of time
ཐུབ་དབང་	lord of sages	A title for Buddha or enlightened beings
སྐྱེ་བོ	beings	Living creatures or sentient beings
བདེ་མཆོག	sublime bliss	The highest state of happiness or enlightenment
བདེ་བླག	ease	Without difficulty or effort
སྲིད་པ	existence	the state of being in the cycle of birth, death, and rebirth
སྡུག་བསྔལ	suffering	physical or mental pain and distress
སེམས་ཅན	beings	living creatures, sentient beings
མི་བདེ	unhappiness	state of not being happy or content
བདེ	joy	a feeling of great pleasure and happiness
བྱང་ཆུབ་སེམས	bodhichitta	the wish to attain enlightenment for the benefit of all sentient beings
གཏང་མི་བྱ	should not forsake	should not abandon or give up
བྱང་ཆུབ་སེམས	Bodhichitta	The awakened mind; the aspiration to attain enlightenment for the benefit of all beings
འཁོར་བ	Samsara	The cycle of rebirth and suffering in Buddhist philosophy
བདེ་གཤེགས	Sugata	An epithet for Buddha, meaning "one who has gone to bliss"
འཇིག་རྟེན	World	The mundane world or universe
ལྷ་མི	Gods and humans	Celestial beings and human beings
གསེར་འགྱུར་རྩི	alchemy	The medieval forerunner of chemistry, concerned with the transmutation of matter
མི་གཙང་ལུས	unclean body	The impure physical form in Buddhist philosophy
རྒྱལ་བའི་སྐུ	buddha's body	The enlightened physical form of a Buddha
རིན་ཆེན	jewel	A precious stone or gem
བྱང་ཆུབ་སེམས	bodhichitta	The compassionate wish to attain enlightenment for the benefit of all sentient beings in Buddhism
འགྲོ་བའི་དེད་དཔོན་	leader of beings	A guide or spiritual leader for sentient beings
ཚད་མེད་བློས་	immeasurable mind	A mind of boundless wisdom or understanding
རིན་ཆེན་	precious	Of great value or worth
བྱང་ཆུབ་སེམས་	bodhichitta	The enlightened mind or the aspiration to attain enlightenment for the benefit of all beings
བརྟན་པར་ཟུང་	firmly grasp hold	To maintain a strong and unwavering grip or commitment
དགེ་བ་	virtue	A moral excellence or positive quality
ཆུ་ཤིང་	banana tree	A tropical plant that produces bananas
འབྲས་བུ་	fruit, result	The outcome or consequence of an action
བྱང་ཆུབ་སེམས་	bodhichitta	The enlightened mind or the aspiration to attain enlightenment for the benefit of all beings
ལྗོན་ཤིང་	tree	A perennial plant with an elongated stem, or trunk, supporting branches and leaves
མི་ཟད་	inexhaustible	Never-ending or unable to be used up
འཕེལ་བ	thrive, increase	To grow or develop well and vigorously
སྡིག་པ་	misdeeds	Negative or harmful actions
དཔའ་	hero	A person admired for their courage or noble qualities
བརྟེན་	rely	To depend on or trust in something or someone
འཇིགས་པ་	danger	A situation that poses a threat or risk
སྒྲོལ་	liberate	To set free or release from bondage
བག་ཅན་	careful	Cautious and attentive in one's actions
དུས་མཐའི་མེ	inferno at an age's end	A destructive fire that occurs at the end of a cosmic cycle
སྡིག་ཆེན	great misdeeds	Serious negative actions or sins
སྐད་ཅིག་གཅིག	single instant	A moment or very brief period of time
ཕན་ཡོན	benefits	Advantages or positive outcomes
བྱམས་མགོན	Maitreya	The future Buddha of loving-kindness in Buddhist tradition
ནོར་བཟངས	Sudhana	A spiritual seeker in Buddhist literature, often associated with the Avatamsaka Sutra
བྱང་ཆུབ་སེམས་	Bodhichitta	The mind of enlightenment or awakening in Buddhism
བྱང་ཆུབ་སྨོན་པའི་སེམས་	Aspirational bodhichitta	The wish or aspiration to attain enlightenment for the benefit of all beings
བྱང་ཆུབ་འཇུག་པ་	Engaged bodhichitta	The actual practice or engagement in the path to enlightenment
འགྲོ་བར་འདོད	wish to go	The desire or intention to travel or move
འགྲོ་བ	going	The act of traveling or moving
བྱེ་བྲག	difference/contrast	A distinction or dissimilarity between two things
མཁས་པ	wise	Having or showing experience, knowledge, and good judgment
ཤེས་པ	know/understand	To be aware of or comprehend something
བྱང་ཆུབ་སྨོན་པའི་སེམས་	aspiring bodhichitta	The wish to attain enlightenment for the benefit of all beings
འཁོར་ཚེ་	samsara	The cycle of rebirth and suffering in Buddhist philosophy
འབྲས་བུ་	results	Consequences or outcomes of actions
འཇུག་པའི་སེམས་	engaged bodhichitta	The active practice of working towards enlightenment for the benefit of all beings
བསོད་ནམས་	merit	Positive karma or spiritual credit gained through good deeds
རྒྱུན་ཆགས་	continuous	Uninterrupted or ongoing
སེམས་ཅན་ཁམས	realms of beings	The various states or planes of existence where sentient beings reside
མཐའ་ཡས	infinite	Without limit or end
དགྲོལ་བ	freeing/liberating	To release or set free from bondage or suffering
མི་ལྡོག་པ	irreversible	Not capable of being reversed or turned back
སེམས	mind/intent	The faculty of consciousness, thought, and feeling
ཡང་དག	truly/genuinely	In a real or authentic manner
བླངས	take up/adopt	To accept or assume responsibility for something
དེང་ནས་བཟུང་སྟེ	From this moment on	Starting from the present time
གཉིད་ལོག	asleep	In a state of sleep
བག་མེད	careless	Lacking caution or thoughtfulness
བསོད་ནམས་ཤུགས	force of merit	The power or strength of positive karma
རྒྱུན་མི་འཆད་པར	unceasing	Continuous, without interruption
ནམ་མཁའ་མཉམ་པར	equal to the sky	As vast or limitless as the sky
རབ་ཏུ་འབྱུང	flows forth	Emerges or arises abundantly
འཐད་པ་དང་བཅས་པར	with reasons	accompanied by logical explanations or justifications
ལག་བཟང	Subahu	name of a bodhisattva who requested teachings from the Buddha
དམན་མོས་སེམས་ཅན	beings inclined to the Foundation	sentient beings with lesser inclinations or aspirations
དེ་བཞིན་གཤེགས་པ	Tathagata	epithet for the Buddha, meaning "one who has thus gone" or "thus come"
ཞུས་པ	requested	asked for or solicited (teachings)
སེམས་ཅན་	sentient beings	Living creatures capable of perception and feeling
ཀླད་ནད་	head pain	Pain or ailment affecting the head or brain
བསལ་	eliminate	To remove or get rid of something
ཕན་འདོགས་	benevolent	Kind and helpful
བསམ་པ་	intention	A mental state that represents a commitment to carrying out an action
བསོད་ནམས་	merit	Positive karma or spiritual credit gained through good deeds
དཔག་མེད་	immeasurable	Too large, extensive, or extreme to measure
སེམས་ཅན་	sentient being	A living creature capable of perception and feeling
མི་བདེ་བ་	suffering	Physical or mental pain or distress
དཔག་ཏུ་མེད་པ་	immeasurable	Too vast or numerous to be counted or measured
བསལ་	eliminate	To remove or get rid of completely
ཡོན་ཏན་	qualities	Characteristics or features, typically good ones
བསྒྲུབ་པ་	establish	To set up or bring about on a firm or permanent basis
