Word,Translation,Context,Source,Source Translation
སྲས་,offspring,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །,"I respectfully prostrate to the Sugatas who possess the dharmakaya, along with their offspring,
And to all who are worthy of veneration.
I will now briefly explain, in accordance with scripture,
How to enter into the vows of the Sugatas' offspring."
སྲས་,children,བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །,བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས། །འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས། །བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །,"When bodhicitta is generated, in an instant,
Those wretched beings bound in samsara's prison
Are called children of the Sugatas,
And become worthy of homage from worldly gods and humans."
སྲས་,sons,སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན། །,བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག །སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན། །ཡོན་གནས་དམ་པ་ཐུགས་རྗེ་ཆེ་རྣམས་ཀྱིས། །བདག་ལ་བརྩེར་དགོངས་བདག་གི་འདི་དག་བཞེས། །,"Having taken up with my mind the supreme sage's birth,
If I make excellent offerings to him and his sons,
May the holy recipients, those of great compassion,
Consider me with love and accept these offerings of mine."
སྲས་,heirs,རྒྱལ་དང་དེ་སྲས་རྣམས་ལ་བདག་གིས་ནི། །བདག་གི་ལུས་ཀུན་གཏན་དུ་དབུལ་བར་བགྱི། །,རྒྱལ་དང་དེ་སྲས་རྣམས་ལ་བདག་གིས་ནི། །བདག་གི་ལུས་ཀུན་གཏན་དུ་དབུལ་བར་བགྱི། །སེམས་དཔའ་མཆོག་རྣམས་བདག་ནི་ཡོངས་བཞེས་ཤིག །གུས་པས་ཁྱེད་ཀྱི་འབངས་སུ་མཆི་བར་བགྱི། །,"To the Victorious Ones and their heirs,
I offer my entire body for all time.
Supreme bodhisattvas, please accept me fully.
With devotion, I shall become your servant."
སྲས་,child,དི་རིང་སངས་རྒྱས་རིགས་སུ་སྐྱེས། །སངས་རྒྱས་སྲས་སུ་བདག་དེང་གྱུར། །,དེང་དུ་བདག་ཚེ་འབྲས་བུ་ཡོད། །མི་ཡི་སྲིད་པ་ལེགས་པར་ཐོབ། །དི་རིང་སངས་རྒྱས་རིགས་སུ་སྐྱེས། །སངས་རྒྱས་སྲས་སུ་བདག་དེང་གྱུར། །,"Today my life has borne fruit;
I have well obtained a human existence.
Today I am born into the Buddha's family;
I have now become a child of the Buddha."
བདག་,I,།སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །,"Nothing new that has not been said before is expressed here.
I do not possess the skill of elegant composition.
Therefore, I have no intention to benefit others.
I composed this to meditate within my own mind."
བདག་,myself,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །,"Through the force of my faith, in order to cultivate virtue,
May these for a time increase.
And if others of equal fortune to myself
Should see these, may it become meaningful."
བདག་,me,བདག་ལ་བརྩེར་དགོངས་བདག་གི་འདི་དག་བཞེས། །,བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག །སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན། །ཡོན་གནས་དམ་པ་ཐུགས་རྗེ་ཆེ་རྣམས་ཀྱིས། །བདག་ལ་བརྩེར་དགོངས་བདག་གི་འདི་དག་བཞེས། །,"Having taken up with my mind the supreme sage's birth,
If I make excellent offerings to him and his sons,
May the holy recipients, those of great compassion,
Consider me with love and accept these offerings of mine."
བདག་,my,བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །,བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས། །དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི། །བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །,"I am one without merit, greatly impoverished.
I have no other wealth of offerings.
Therefore, for the sake of benefiting others, O Protector,
Please accept this through your own power, for my sake."
བདག་,one,ཉམ་ཐག་ང་རོས་འོ་དོད་འབོད། །སྡིག་ལྡན་བདག་ལ་བསྐྱབ་ཏུ་གསོལ། །,ཐུགས་རྗེས་སྤྱོད་པ་མ་འཁྲུལ་བ། །སྤྱན་རས་གཟིགས་མགོན་དེ་ལ་ཡང་། །ཉམ་ཐག་ང་རོས་འོ་དོད་འབོད། །སྡིག་ལྡན་བདག་ལ་བསྐྱབ་ཏུ་གསོལ། །,"To the compassionate protector Avalokiteshvara,
Whose conduct is unerring,
I cry out with the anguished voice of one in distress.
Please protect this sinful one, I beseech you!"
བདག་,self,ཁ་ན་མ་ཐོ་མེད་དངོས་ལ། །བདག་དང་སེམས་ཅན་དབང་བྱས་ཤིང་། །,ཁ་ན་མ་ཐོ་མེད་དངོས་ལ། །བདག་དང་སེམས་ཅན་དབང་བྱས་ཤིང་། །སྤྲུལ་པ་བཞིན་དུ་ང་མེད་པར། །ཡིད་འདི་རྟག་ཏུ་གཟུང་བར་བྱ། །,"Regarding actions free from wrongdoing,
Having mastery over self and beings,
Like an illusion, without ego-clinging,
This mind should always be maintained."
བདག་,oneself,།ཞེ་སྡང་བརྟས་ཏེ་བདག་འཇོམས་སོ། །,མི་འདོད་བྱས་དང་འདོད་པ་ཡི། །གེགས་བྱས་པ་ལ་བྱུང་གྱུར་པ། །ཡིད་མི་བདེ་བའི་ཟས་རྙེད་ནས། །ཞེ་སྡང་བརྟས་ཏེ་བདག་འཇོམས་སོ། །,"tags:

<t>
When faced with unwanted actions
And obstacles to what is desired,
Finding the food of mental distress,
Anger grows and destroys oneself."
