Word,Translation,Context,Source,Source Translation
མཁས་པ་,skill,སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །,"There is nothing expressed here that has not been said before,
And I do not possess skill in poetic composition.
Therefore, I have no intention to benefit others.
I composed this to meditate within my own mind."
མཁས་པ་,wise one,།དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི། །བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ།,འགྲོ་བར་འདོད་དང་འགྲོ་བ་ཡི། །བྱེ་བྲག་ཇི་ལྟར་ཤེས་པ་ལྟར། །དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི། །བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ། །,"Just as one understands the distinction
Between desiring to go and actually going,
So too should the wise one understand
The distinction between these two, respectively."
མཁས་པ་,skilled ones,དེ་ལྟར་གནས་པའི་མཁས་པ་ལ། །བསོད་ནམས་མི་འགྱུར་གང་ཡང་མེད། །,རྒྱལ་སྲས་རྣམས་ཀྱིས་མི་བསླབ་པ། །དེ་ནི་གང་ཡང་ཡོད་མིན་ཏེ། །དེ་ལྟར་གནས་པའི་མཁས་པ་ལ། །བསོད་ནམས་མི་འགྱུར་གང་ཡང་མེད། །,"There is nothing in which bodhisattvas do not train.
For the skilled ones who abide thus,
There is nothing that does not become merit."
མཁས་པ་,skilled,ཐེག་ཆེན་དོན་ལ་མཁས་པ་དང་། །,རྟག་པར་དགེ་བའི་བཤེས་གཉེན་ནི། །ཐེག་ཆེན་དོན་ལ་མཁས་པ་དང་། །བྱང་ཆུབ་སེམས་དཔའི་བརྟུལ་ཞུགས་མཆོག །སྲོག་གི་ཕྱིར་ཡང་མི་བཏང་ངོ་། །,"Always, the spiritual friend
Who is skilled in the meaning of the Mahāyāna
And supreme in the bodhisattva's discipline,
One should not forsake even for the sake of one's life."
མཁས་པ་,wisdom,མཁས་པའི་ཕྱིར་ན་མི་དགའ་མེད། །,སྡིག་པ་སྤང་ཕྱིར་སྡུག་བསྔལ་མེད། །མཁས་པའི་ཕྱིར་ན་མི་དགའ་མེད། །འདི་ལྟར་ལོག་པར་རྟོག་པ་དང་། །སྡིག་པས་སེམས་དང་ལུས་ལ་གནོད། །,"For the sake of abandoning sin, there is no suffering.
For the sake of wisdom, there is no unhappiness.
In this way, wrong views
And sins harm the mind and body."
མཁས་པ་,wise,མཁས་པས་འདི་ལྟར་དཔྱད་པར་བྱ། །,ཆགས་པའི་ཕྱིར་དང་རྙེད་སོགས་ལ། །སྲེད་པས་འཇིག་རྟེན་མི་སྤོང་སྟེ། །དེ་བས་འདི་དག་ཡོངས་སྤོངས་ལ། །མཁས་པས་འདི་ལྟར་དཔྱད་པར་བྱ། །,"Due to attachment and craving for gain and so forth,
One does not renounce the world.
Therefore, completely abandoning these,
The wise should analyze thus."
བདག་,I,སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །,"There is nothing expressed here that has not been said before,
And I do not possess skill in poetic composition.
Therefore, I have no intention to benefit others.
I composed this to meditate within my own mind."
བདག་,I/me,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །,"For the sake of cultivating virtue, may the power of my faith
Also increase for a while through these [teachings].
And if others with fortune equal to mine
Should see these, may it become meaningful."
བདག་,me,།བདག་ལ་བརྩེར་དགོངས་བདག་གི་འདི་དག་བཞེས།,བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག །སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན། །ཡོན་གནས་དམ་པ་ཐུགས་རྗེ་ཆེ་རྣམས་ཀྱིས། །བདག་ལ་བརྩེར་དགོངས་བདག་གི་འདི་དག་བཞེས། །,"If I mentally imagine and excellently offer to the supreme Sage among beings and his offspring,
May the holy objects of offering, those of great compassion,
Lovingly consider me and accept these [offerings] of mine."
བདག་,my,བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །,བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས། །དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི། །བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །,"I am one without merit, greatly impoverished.
I have no other wealth of offerings whatsoever.
Therefore, Protector who considers others' welfare,
Please accept this by your own power, for my sake."
བདག་,self,བློ་ཞེན་བདག་ལ་བརྩོན་པ་མེད་པར་ཟད། །,ཉོན་མོངས་ཉོན་མོངས་ཤེས་རབ་མིག་གིས་སྤང་། །བདག་ཡིད་ལས་བསལ་གང་དུ་འགྲོ་བར་འགྱུར། །གང་དུ་གནས་ནས་བདག་གནོད་བྱ་ཕྱིར་འོང་། །བློ་ཞེན་བདག་ལ་བརྩོན་པ་མེད་པར་ཟད། །,"Abandon kleśas with the eye of prajñā.
Where will they go when removed from my mind?
Where will they abide and return from to harm me?
Mental attachment to self is simply without diligence."
བདག་,mine,དེ་ལྟས་བདག་གི་སེམས་འདི་ནི། །ལེགས་གཟུང་ལེགས་པར་བསྲུང་བར་བྱ། །,དེ་ལྟས་བདག་གི་སེམས་འདི་ནི། །ལེགས་གཟུང་ལེགས་པར་བསྲུང་བར་བྱ། །སེམས་བསྲུང་བརྟུལ་ཞུགས་མ་གཏོགས་པ། །བརྟུལ་ཞུགས་མང་པོས་ཅི་ཞིག་བྱ། །,"Therefore, this mind of mine
Should be well-grasped and well-protected.
Apart from the discipline of guarding the mind,
What use are many other disciplines?"
