Word,Translation,Context,Source,Source Translation
བདེ་གཤེགས་,Sugatas,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །,"I respectfully bow to the Sugatas who possess the Dharma body, together with their Sons,
And to all who are worthy of veneration.
I shall explain how to engage in the vows of the Sons of the Sugatas,
In brief, according to the scriptures."
བདེ་གཤེགས་,Buddha,།བདེ་གཤེགས་བསླབ་པ་དྲན་བྱས་ནས། །སྐྲག་པས་དེ་ཡི་མོད་ལ་དོར།,དོན་མེད་ས་རྐོ་རྩྭ་གཅོད་དང་། །ས་རིས་འདྲི་སོགས་བྱེད་གྱུར་ན། །བདེ་གཤེགས་བསླབ་པ་དྲན་བྱས་ནས། །སྐྲག་པས་དེ་ཡི་མོད་ལ་དོར། །,"If you engage in pointless activities such as digging the earth, cutting grass, or drawing on the ground, recall the precepts of the Buddha. Out of fear [of transgression], immediately abandon such actions."
བདེ་གཤེགས་,Sugata,བསྐལ་པ་སྟོང་དུ་བསགས་པ་ཡི། །སྦྱིན་དང་བདེ་གཤེགས་མཆོད་ལ་སོགས།,བསྐལ་པ་སྟོང་དུ་བསགས་པ་ཡི། །སྦྱིན་དང་བདེ་གཤེགས་མཆོད་ལ་སོགས། །ལེགས་སྤྱད་གང་ཡིན་དེ་ཀུན་ཡང་། །ཁོང་ཁྲོ་གཅིག་གིས་འཇོམས་པར་བྱེད། །,"The generosity and offerings to the Sugatas
Accumulated over a thousand eons,
And whatever good conduct there may be—
All of these are destroyed by a single moment of anger."
བདེ་གཤེགས་,Tathagatas,རྒྱལ་བའི་མདུན་གནས་བདེ་གཤེགས་སྲས་སུ་དགེ་བས་འགྱུར། །,རྒྱ་ཆེ་དྲི་བཟང་བསིལ་བའི་པདྨའི་སྙིང་པོར་གནས། །རྒྱལ་བའི་གསུང་སྙན་ཟས་ཀྱིས་གཟི་བརྗིད་བསྐྱེད་བྱས་པ། །ཐུབ་འོད་ཀྱིས་རྒྱས་པདྨ་ལས་བྱུང་ལུས་མཆོག་ཅན། །རྒྱལ་བའི་མདུན་གནས་བདེ་གཤེགས་སྲས་སུ་དགེ་བས་འགྱུར། །,"Dwelling in the heart of a vast, fragrant, and cool lotus,
Nourished and made resplendent by the Buddha's sweet speech as sustenance,
Emerging from a lotus expanded by the Sage's light, with a supreme body,
One becomes a child of the Tathagatas, present before the Victorious Ones, through virtue."
བདེ་གཤེགས་,Blissfully Gone Ones,གཞལ་མེད་ཁང་གྱུར་བདེ་གཤེགས་གང་བར་ཤོག །,སོལ་ཕུང་དེ་དག་རིན་ཆེན་ཕུང་པོར་གྱུར། །ས་བསྲེགས་ཤེལ་གྱི་ས་གཞི་བསྟར་བར་ཤོག །བསྡུས་འཇོམས་རི་བོ་རྣམས་ཀྱང་མཆོད་པ་ཡི། །གཞལ་མེད་ཁང་གྱུར་བདེ་གཤེགས་གང་བར་ཤོག །,"May the heaps of burning coals transform into mounds of precious gems.
May the scorching iron ground become a vast expanse of crystal.
May the crushing mountains turn into immeasurable offering palaces,
Filled with the presence of the Blissfully Gone Ones."
སྲས་,Sons,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །,"I respectfully bow to the Sugatas who possess the Dharma body, together with their Sons,
And to all who are worthy of veneration.
I shall explain how to engage in the vows of the Sons of the Sugatas,
In brief, according to the scriptures."
སྲས་,children,བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །,བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས། །འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས། །བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །,"When bodhicitta arises, in an instant,
Those wretched ones bound in samsara's prison
Are called children of the Sugatas,
And become worthy of prostration by gods and humans of the world."
སྲས་,disciples,བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག །སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན།,བློ་ཡིས་བླངས་ནས་ཐུབ་པ་སྐྱེས་ཀྱི་མཆོག །སྲས་དང་བཅས་པ་རྣམས་ལ་ལེགས་འབུལ་ན། །ཡོན་གནས་དམ་པ་ཐུགས་རྗེ་ཆེ་རྣམས་ཀྱིས། །བདག་ལ་བརྩེར་དགོངས་བདག་གི་འདི་དག་བཞེས། །,"Having mentally gathered offerings, I properly present them to the Supreme Sage and his disciples. May you noble recipients, endowed with great compassion, kindly consider me with love and accept these offerings of mine."
སྲས་,spiritual son,དེ་བཞིན་གཤེགས་དང་དེ་ཡི་སྲས་རྣམས་ལ།,དེ་བཞིན་གཤེགས་དང་དེ་ཡི་སྲས་རྣམས་ལ། །རིན་ཆེན་བུམ་པ་མང་པོ་སྤོས་ཀྱི་ཆུ། །ཡིད་འོང་ལེགས་པར་བཀང་བ་གླུ་དང་ནི། །རོལ་མོར་བཅས་པ་དུ་མས་སྐུ་ཁྲུས་གསོལ། །,"To the Tathagatas and their spiritual sons,
I offer a bath with many precious vessels
Filled with fragrant, pleasing water and flowers,
Accompanied by numerous songs and musical instruments."
སྲས་,heirs,དེ་བཞིན་བདག་གིས་དེ་བཞིན་གཤེགས། །མགོན་པོ་སྲས་དང་བཅས་རྣམས་མཆོད། །,ཇི་ལྟར་འཇམ་དབྱངས་ལ་སོགས་པས། །རྒྱལ་བ་རྣམས་ལ་མཆོད་མཛད་པ། །དེ་བཞིན་བདག་གིས་དེ་བཞིན་གཤེགས། །མགོན་པོ་སྲས་དང་བཅས་རྣམས་མཆོད། །,"Just as Manjushri and others
Make offerings to the Victorious Ones,
In the same way, I too shall offer
To the Tathagatas, protectors, and their heirs."
