Word,Translation,Context,Source,Source Translation
ཕྱག་འཚལ་,bow down,།ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །,"To Sugatas with Dharmakaya, their offspring, and all
Worthy of homage, I bow down with deep respect.
The vows of the Sugatas' heirs, how to enter them,
I'll explain briefly, in accord with the scriptures."
ཕྱག་འཚལ་,reverence,ལུས་བཏུད་པ་ཡིས་བདག་ཕྱག་འཚལ། །,དུས་གསུམ་གཤེགས་པའི་སངས་རྒྱས་ཀུན། །ཆོས་དང་ཚོགས་ཀྱི་མཆོག་བཅས་ལ། །ཞིང་རྡུལ་ཀུན་གྱི་གྲངས་སྙེད་ཀྱི། །ལུས་བཏུད་པ་ཡིས་བདག་ཕྱག་འཚལ། །,"To Buddhas of the three times, one and all,
To Dharma and the Sangha, supreme host,
With bodies numerous as realms' atoms small,
I bow in reverence from head to toe, utmost."
ཕྱག་འཚལ་,bow,བྱང་ཆུབ་སེམས་ཀྱི་གཞི་རྣམས་དང་། །མཆོད་རྟེན་རྣམས་ལ་བདག་ཕྱག་འཚལ། །,བྱང་ཆུབ་སེམས་ཀྱི་གཞི་རྣམས་དང་། །མཆོད་རྟེན་རྣམས་ལ་བདག་ཕྱག་འཚལ། །མཁན་པོ་དེ་བཞིན་སློབ་དཔོན་དང་། །བརྟུལ་ཞུགས་མཆོག་ལ་ཕྱག་འཚལ་ལོ། །,"To all the bases where bodhicitta springs,
To stupas too, I bow in reverence deep.
To abbots, masters, and supreme adepts,
I offer homage, vows of practice keep."
ཕྱག་འཚལ་,homage,མཁན་པོ་དེ་བཞིན་སློབ་དཔོན་དང་། །བརྟུལ་ཞུགས་མཆོག་ལ་ཕྱག་འཚལ་ལོ། །,བྱང་ཆུབ་སེམས་ཀྱི་གཞི་རྣམས་དང་། །མཆོད་རྟེན་རྣམས་ལ་བདག་ཕྱག་འཚལ། །མཁན་པོ་དེ་བཞིན་སློབ་དཔོན་དང་། །བརྟུལ་ཞུགས་མཆོག་ལ་ཕྱག་འཚལ་ལོ། །,"To all the bases where bodhicitta springs,
To stupas too, I bow in reverence deep.
To abbots, masters, and supreme adepts,
I offer homage, vows of practice keep."
ཕྱག་འཚལ་,prostrate,།གང་གི་དྲིན་གྱིས་བདག་དར་བ། །དགེ་བའི་བཤེས་ལའང་བདག་ཕྱག་འཚལ།,གང་གི་དྲིན་གྱིས་དགེ་བློ་འབྱུང་། །འཇམ་པའི་དབྱངས་ལ་ཕྱག་འཚལ་ལོ། །གང་གི་དྲིན་གྱིས་བདག་དར་བ། །དགེ་བའི་བཤེས་ལའང་བདག་ཕྱག་འཚལ། །,"By whose grace virtuous mind arises,
To Manjushri I bow in reverence.
By whose kindness I flourish in good,
To spiritual friends I also prostrate."
འཇུག་པ་,enter,།བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །,"To Sugatas with Dharmakaya, their offspring, and all
Worthy of homage, I bow down with deep respect.
The vows of the Sugatas' heirs, how to enter them,
I'll explain briefly, in accord with the scriptures."
འཇུག་པ་,engage,ཀུན་ལ་འཇུག་པར་གྱུར་པ་ན། །,བྲེ་མོའི་གཏམ་ནི་སྣ་ཚོགས་དང་། །ངོ་མཚར་ལྟད་མོ་རྣམ་མང་པོ། །ཀུན་ལ་འཇུག་པར་གྱུར་པ་ན། །དེ་ལ་ཆགས་པ་སྤང་བར་བྱ། །,"When faced with varied forms of idle chat,
And wondrous shows of many kinds unfold,
Though one may be inclined to engage in all,
Attachment to such things should not take hold."
འཇུག་པ་,brave,གང་ཕྱིར་སྐུ་གཏོང་མནར་མེད་འཇུག་པ་ལ། །,གང་ཕྱིར་སྐུ་གཏོང་མནར་མེད་འཇུག་པ་ལ། །དེ་ལ་ཕན་བཏགས་ལན་ལོན་འགྱུར་བས་ན། །དེ་བས་འདི་དག་གནོད་ཆེན་བྱེད་ན་ཡང་། །ཐམས་ཅད་བཟང་དགུ་ཞིག་ཏུ་སྤྱད་པར་བྱ། །,"Since those who'd give their lives and brave hell's pain
For beings' sake will reap what they have sown,
Though these may cause great harm, still we should deign
To act with utmost virtue, this alone."
འཇུག་པ་,descend,མནར་མེད་པ་ཡང་འཇུག་པར་འགྱུར། །,དེ་ལྟར་རྒྱུད་ནི་གོམས་གྱུར་པ། །གཞན་གྱི་སྡུག་བསྔལ་ཞི་དགའ་བས། །པདྨའི་མཚོ་རུ་ངང་པ་ལྟར། །མནར་མེད་པ་ཡང་འཇུག་པར་འགྱུར། །,"Thus, when the mind stream grows accustomed,
Rejoicing in quelling others' pain,
Like swans to a lotus lake drawn,
Even to Avīci one would descend."
འཇུག་པ་,entering,འཇུག་པ་རྣམ་པར་བརྩམས་པ་ཡི། །,བདག་གིས་བྱང་ཆུབ་སྤྱོད་པ་ལ། །འཇུག་པ་རྣམ་པར་བརྩམས་པ་ཡི། །དགེ་བ་གང་དེས་འགྲོ་བ་ཀུན། །བྱང་ཆུབ་སྤྱོད་ལ་འཇུག་པར་ཤོག །,"By virtue of my composing this work
On entering the ways of awakening,
May all beings, without exception,
Engage in enlightened conduct."
