Word,Translation,Context,Source,Source Translation
བདེ་གཤེགས་,sugata,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །,"I prostrate with respect to the sugatas, Who have the dharmakaya, and their offspring, And also to all worthy of veneration. I'll teach in brief, according to the scriptures, The way to enter the bodhisattva's vows."
བདེ་གཤེགས་,sugatas,བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །,བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས། །འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས། །བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །,"If they rouse bodhichitta, in an instant the wretched, fettered in samsara's prison, are named the offspring of the sugatas and revered in the worlds of gods and humans."
བདེ་གཤེགས་,buddhahood,སྤྱན་སྔར་འགྲོ་བ་བདེ་གཤེགས་ཉིད་དང་ནི། །,བདག་གིས་དེ་རིང་སྐྱོབ་པ་ཐམས་ཅད་ཀྱི། །སྤྱན་སྔར་འགྲོ་བ་བདེ་གཤེགས་ཉིད་དང་ནི། །བར་དུ་བདེ་ལ་མགྲོན་དུ་བོས་ཟིན་གྱིས། །ལྷ་དང་ལྷ་མིན་ལ་སོགས་དགའ་བར་གྱིས། །,"Today, in the presence of all the protectors, I invite all sentient beings as my guests To buddhahood, and till then happiness. Gods, demigods, and everyone rejoice!"
བདེ་གཤེགས་,Sugata,།བདེ་གཤེགས་བསླབ་པ་དྲན་བྱས་ནས། །སྐྲག་པས་དེ་ཡི་མོད་ལ་དོར། །,དོན་མེད་ས་རྐོ་རྩྭ་གཅོད་དང་། །ས་རིས་འདྲི་སོགས་བྱེད་གྱུར་ན། །བདེ་གཤེགས་བསླབ་པ་དྲན་བྱས་ནས། །སྐྲག་པས་དེ་ཡི་མོད་ལ་དོར། །,"If you should dig the ground, cut plants, Or draw in dirt without a purpose, Recall the words of the Sugata And at that moment, stop from fear."
བདེ་གཤེགས་,buddhas,སྦྱིན་དང་བདེ་གཤེགས་མཆོད་ལ་སོགས། །,བསྐལ་པ་སྟོང་དུ་བསགས་པ་ཡི། །སྦྱིན་དང་བདེ་གཤེགས་མཆོད་ལ་སོགས། །ལེགས་སྤྱད་གང་ཡིན་དེ་ཀུན་ཡང་། །ཁོང་ཁྲོ་གཅིག་གིས་འཇོམས་པར་བྱེད། །,"One moment's anger shatters all Good acts accumulated In a thousand aeons, such as giving Or offering to the buddhas."
བརྗོད་,say,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །,"I won't say anything not said before, Nor have I any skill in poetry. Thus I have not intended this for others— I've written it to cultivate my mind."
བརྗོད་,speak,ལྐོག་ན་ཡོན་ཏན་བརྗོད་བྱ་ཞིང་།,ལྐོག་ན་ཡོན་ཏན་བརྗོད་བྱ་ཞིང་། །ཡོན་ཏན་བརྗོད་ན་རྗེས་སུ་བརྗོད། །རང་གི་ཡོན་ཏན་བརྗོད་ན་དེ། །ཡོན་ཏན་ཤེས་པར་རིག་པར་བྱ། །,"Speak of good qualities discreetly; Repeat them when they're spoken of. When someone speaks of your good traits, Understand they know qualities."
བརྗོད་,says,བློ་ནི་གསལ་བ་ཉིད་ཡིན་ཞེས། །གང་གིས་ཤེས་ནས་དེ་སྐད་བརྗོད། །,མར་མེ་གསལ་བར་བྱེད་དོ་ཞེས། །ཤེས་པས་ཤེས་ཏེ་རྗོད་བྱེད་ན། །བློ་ནི་གསལ་བ་ཉིད་ཡིན་ཞེས། །གང་གིས་ཤེས་ནས་དེ་སྐད་བརྗོད། །,"There is a consciousness that knows and says a lamp is luminous, but what is it that knows and says that mind is luminous itself?"
བརྗོད་,discussing,དེ་ན་བརྗོད་ཀྱང་དོན་མེད་དོ། །,གང་ཚེ་འགས་ཀྱང་མཐོང་མིན་ན། །གསལ་བའམ་ནི་མི་གསལ་བ། །མོ་གཤམ་བུ་མོའི་འགྱིང་བག་བཞིན། །དེ་ན་བརྗོད་ཀྱང་དོན་མེད་དོ། །,"Whether it's luminous or not, If it's not seen by anything, Like the charms of a barren woman's daughter, Even discussing it is pointless."
བརྗོད་,stated,།ཇི་ལྟར་གྲགས་པ་ལ་བརྟེན་ནས། །རྣམ་པར་དཔྱད་པ་ཐམས་ཅད་བརྗོད།,རྟོག་དང་བརྟག་པར་བྱ་བ་དག །གཉིས་པོ་ཕན་ཚུན་བརྟེན་པ་ཡིན། །ཇི་ལྟར་གྲགས་པ་ལ་བརྟེན་ནས། །རྣམ་པར་དཔྱད་པ་ཐམས་ཅད་བརྗོད། །,The thought and what is thought of both Are each dependent on the other. All the analyses are stated According to the common consensus.
བདག་,I/self,།སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ།,སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །,"I won't say anything not said before, Nor have I any skill in poetry. Thus I have not intended this for others— I've written it to cultivate my mind."
བདག་,My,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །,"Meanwhile, this will increase the power of My faith so that I cultivate the virtues. If someone else whose fortune equals mine Should see it, then it may be meaningful."
བདག་,mine,བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །,དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །,"Meanwhile, this will increase the power of My faith so that I cultivate the virtues. If someone else whose fortune equals mine Should see it, then it may be meaningful."
བདག་,I,བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །,བདག་ནི་བསོད་ནམས་མི་ལྡན་བཀྲེན་ཆེན་ཏེ། །མཆོད་པའི་ནོར་གཞན་བདག་ལ་ཅང་མ་མཆིས། །དེས་ན་གཞན་དོན་དགོངས་པའི་མགོན་གྱིས་འདི། །བདག་གི་དོན་སླད་ཉིད་ཀྱི་མཐུས་བཞེས་ཤིག །,"I am bereft of merit, destitute, And have no other wealth that I could offer. May the protectors, who think of others' weal, Accept these through their power for my sake."
