Word,Translation,Line,Verse
བདེ་གཤེགས་,sugata,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །
བདེ་གཤེགས་,sugatas,བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །,བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས། །འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས། །བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །
བདེ་གཤེགས་,buddhahood,སྤྱན་སྔར་འགྲོ་བ་བདེ་གཤེགས་ཉིད་དང་ནི། །,བདག་གིས་དེ་རིང་སྐྱོབ་པ་ཐམས་ཅད་ཀྱི། །སྤྱན་སྔར་འགྲོ་བ་བདེ་གཤེགས་ཉིད་དང་ནི། །བར་དུ་བདེ་ལ་མགྲོན་དུ་བོས་ཟིན་གྱིས། །ལྷ་དང་ལྷ་མིན་ལ་སོགས་དགའ་བར་གྱིས། །
བདེ་གཤེགས་,Sugata,།བདེ་གཤེགས་བསླབ་པ་དྲན་བྱས་ནས། །སྐྲག་པས་དེ་ཡི་མོད་ལ་དོར། །,དོན་མེད་ས་རྐོ་རྩྭ་གཅོད་དང་། །ས་རིས་འདྲི་སོགས་བྱེད་གྱུར་ན། །བདེ་གཤེགས་བསླབ་པ་དྲན་བྱས་ནས། །སྐྲག་པས་དེ་ཡི་མོད་ལ་དོར། །
བདེ་གཤེགས་,buddhas,སྦྱིན་དང་བདེ་གཤེགས་མཆོད་ལ་སོགས། །,བསྐལ་པ་སྟོང་དུ་བསགས་པ་ཡི། །སྦྱིན་དང་བདེ་གཤེགས་མཆོད་ལ་སོགས། །ལེགས་སྤྱད་གང་ཡིན་དེ་ཀུན་ཡང་། །ཁོང་ཁྲོ་གཅིག་གིས་འཇོམས་པར་བྱེད། །
མངའ་,possess,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །
མངའ་,endowed,ཐུགས་རྗེ་ཆེན་པོ་མངའ་རྣམས་ལ། །,ཕྱོགས་རྣམས་ཀུན་ན་བཞུགས་པ་ཡི། །རྫོགས་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས། །ཐུགས་རྗེ་ཆེན་པོ་མངའ་རྣམས་ལ། །ཐལ་མོ་སྦྱར་ཏེ་གསོལ་བ་ནི། །
སྲས་,offspring,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །
སྲས་,bodhisattva,དེ་བཞིན་གཤེགས་དང་དེ་ཡི་སྲས་རྣམས་ལ།,དེ་བཞིན་གཤེགས་དང་དེ་ཡི་སྲས་རྣམས་ལ། །རིན་ཆེན་བུམ་པ་མང་པོ་སྤོས་ཀྱི་ཆུ། །ཡིད་འོང་ལེགས་པར་བཀང་བ་གླུ་དང་ནི། །རོལ་མོར་བཅས་པ་དུ་མས་སྐུ་ཁྲུས་གསོལ། །
སྲས་,child,དི་རིང་སངས་རྒྱས་རིགས་སུ་སྐྱེས། །སངས་རྒྱས་སྲས་སུ་བདག་དེང་གྱུར། །,དེང་དུ་བདག་ཚེ་འབྲས་བུ་ཡོད། །མི་ཡི་སྲིད་པ་ལེགས་པར་ཐོབ། །དི་རིང་སངས་རྒྱས་རིགས་སུ་སྐྱེས། །སངས་རྒྱས་སྲས་སུ་བདག་དེང་གྱུར། །
གུས་པར་,with respect,།ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །
གུས་པར་,dedication,བདག་གིས་གུས་པར་བསྒྲུབ་པར་བྱ། །,དེ་ལྟས་ཇི་ལྟར་དམ་བཅས་བཞིན། །བདག་གིས་གུས་པར་བསྒྲུབ་པར་བྱ། །དེང་ནས་བརྩོན་པར་མ་བྱས་ན། །འོག་ནས་འོག་ཏུ་འགྲོ་བར་འགྱུར། །
འཇུག་པ་,enter,།བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །
འཇུག་པ་,engage,ཀུན་ལ་འཇུག་པར་གྱུར་པ་ན། །,བྲེ་མོའི་གཏམ་ནི་སྣ་ཚོགས་དང་། །ངོ་མཚར་ལྟད་མོ་རྣམ་མང་པོ། །ཀུན་ལ་འཇུག་པར་གྱུར་པ་ན། །དེ་ལ་ཆགས་པ་སྤང་བར་བྱ། །
འཇུག་པ་,go,གང་ཕྱིར་སྐུ་གཏོང་མནར་མེད་འཇུག་པ་ལ། །,གང་ཕྱིར་སྐུ་གཏོང་མནར་མེད་འཇུག་པ་ལ། །དེ་ལ་ཕན་བཏགས་ལན་ལོན་འགྱུར་བས་ན། །དེ་བས་འདི་དག་གནོད་ཆེན་བྱེད་ན་ཡང་། །ཐམས་ཅད་བཟང་དགུ་ཞིག་ཏུ་སྤྱད་པར་བྱ། །
བརྗོད་པར་བྱ་,will teach,།ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ།,བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །
