Source,target_gt,01_zero_shot,03_few_shot_advance,02_few_shot,04_commentary_assisted,06_glossary_assisted,07_commentary_and_glossary_assisted
བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །,"I prostrate with respect to the sugatas, Who have the dharmakaya, and their offspring, And also to all worthy of veneration. I'll teach in brief, according to the scriptures, The way to enter the bodhisattva's vows.","I respectfully bow to the Dharmakaya of the Sugatas and their spiritual heirs, And to all who are worthy of veneration. I will now briefly explain, in accordance with scripture, How to enter the vows of the Sugatas' heirs.","I respectfully prostrate to the Sugatas who possess the dharmakāya along with their offspring, And also to all who are worthy of veneration. I shall explain in brief, according to the scriptures, The way to enter the vows of the Sugatas' offspring.","I respectfully prostrate to the Sugatas who possess the dharmakaya, along with their offspring, And to all who are worthy of veneration. I will now briefly explain, in accordance with scripture, How to enter into the vows of the Sugatas' offspring.","I respectfully bow to the Sugatas who possess the Dharma body, together with their Sons, And to all who are worthy of veneration. I shall explain how to engage in the vows of the Sons of the Sugatas, In brief, according to the scriptures.","I respectfully prostrate to the Sugatas possessing the Dharmakaya along with their spiritual heirs, And to all who are worthy of reverence. I will briefly explain, in accordance with scripture, How to enter into the vows of the Sugatas' spiritual heirs.","To Sugatas with Dharmakaya, their offspring, and all Worthy of homage, I bow down with deep respect. The vows of the Sugatas' heirs, how to enter them, I'll explain briefly, in accord with the scriptures."
སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །,"I won't say anything not said before, Nor have I any skill in poetry. Thus I have not intended this for others— I've written it to cultivate my mind.","Nothing new that has not been said before is expressed here. I do not possess the skill of elegant composition. Therefore, I have no intention to benefit others. I composed this to cultivate my own mind.","There is nothing expressed here that has not been said before, And I do not possess skill in poetic composition. Therefore, I have no intention to benefit others. I composed this to meditate within my own mind.","Nothing new that has not been said before is expressed here. I do not possess the skill of elegant composition. Therefore, I have no intention to benefit others. I composed this to meditate within my own mind.","There is nothing said here that has not been said before, Nor do I possess skill in composition. Therefore, I have no intention to benefit others; I have composed this to cultivate my own mind.","Nothing is stated here that has not originated in the past. I do not possess the skill of a poetry wise one. Therefore, I have no intention for the sake of others. I have written this to cultivate my own mind.","Nothing new is stated here, not found in the past, Nor do I possess the skill of poetic mastery. Thus, I have no intention for others' sake, I composed this to cultivate within my own mind."
དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །,"Meanwhile, this will increase the power of My faith so that I cultivate the virtues. If someone else whose fortune equals mine Should see it, then it may be meaningful.","In order to cultivate virtue, may the power of my faith Be increased for a time by these teachings. And if others of equal fortune to myself Should see these, may it become meaningful for them as well.","For the sake of cultivating virtue, may the power of my faith Also increase for a while through these teachings. And if others with fortune equal to mine Should see these, may it become meaningful.","Through the force of my faith, in order to cultivate virtue, May these for a time increase. And if others of equal fortune to myself Should see these, may it become meaningful.","In order to cultivate virtue, may the force of my faith Be increased, at least for now, by these writings. And should others of equal fortune Happen to see these, may it become meaningful for them as well.","In order to cultivate virtue, may my power of faith Be increased for now by these teachings. And if others of equal fortune to myself Should see these, may it become meaningful.","To cultivate virtue, may my force of faith Increase through these words, for now at least. And should others of fortune like mine Chance upon this, may it prove meaningful."
དལ་འབྱོར་འདི་ནི་རྙེད་པར་ཤིན་ཏུ་དཀའ། །སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་པར་གྱུར་པ་ལ། །གལ་ཏེ་འདི་ལ་ཕན་པ་མ་བསྒྲུབས་ན། །ཕྱིས་འདི་ཡང་དག་འབྱོར་པར་ག་ལ་འགྱུར། །,"I've gained what is most difficult to get— The leisures and resources to benefit beings. If I do not accomplish good while here, How will I ever come to them again?","This precious human life, so difficult to obtain, Has been attained to fulfill the purpose of beings. If in this life one does not accomplish what is beneficial, How will such a perfect opportunity come again?","This leisure and endowment is extremely difficult to obtain. Having attained that which accomplishes a person's purpose, If in this life one does not accomplish benefit, How will this perfect endowment be obtained later?","This precious human rebirth is extremely difficult to obtain. Having attained the ability to accomplish the purpose of beings, If in this life we do not achieve what is beneficial, How will we later obtain such a perfect opportunity again?","This human life of leisure and endowments is extremely difficult to obtain. Having attained this state that can accomplish the purpose of beings, If in this life one does not achieve what is beneficial, How will such a perfect opportunity be found again later?","This precious human life is extremely difficult to obtain. Having achieved the opportunity to accomplish the purpose of a being, If one does not accomplish benefit in this life, How will one later attain such a perfect opportunity again?","This precious human life is extremely hard to find, Endowed with the power to achieve a being's purpose. If in this life we fail to accomplish what's beneficial, How again will such a perfect chance arise?"
ཇི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ན། །གློག་འགྱུ་སྐད་ཅིག་བར་སྣང་སྟོན་པ་ལྟར། །དེ་བཞིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན། །འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་། །,"Just as between the clouds on pitch-black nights, Lightning reveals the heavens for an instant, Thoughts of the merits of the world arise For a rare moment through the buddhas' power.","Just as lightning momentarily illuminates the sky On a dark, cloudy night, So too, by the power of the Buddha, Worldly merit and wisdom occasionally arise.","Just as lightning illuminates the sky for an instant On a dark, cloud-covered night, Likewise, by the Buddha's power, rarely Does merit and wisdom arise in the world for a moment.","Just as in a pitch-dark night shrouded by clouds, A flash of lightning briefly illuminates the sky, Likewise, by the power of the Buddha, once in a while, Worldly merit and wisdom arise for a moment.","Just as lightning momentarily illuminates the sky On a dark night shrouded in clouds, So too, by the Buddha's power, rarely Do virtuous thoughts and wisdom briefly arise in the world.","Just as lightning for an instant illuminates the sky On a pitch-black, cloudy night, Likewise, by the power of the Buddha, occasionally Worldly merit and wisdom arise for a moment.","As lightning flashes in pitch-black cloudy night, Revealing sky for but a fleeting moment's sight, So too, by Buddha's power, rarely does arise In worldly folk, brief wisdom, merit in their eyes."
དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག། །སྡིག་པ་སྟོབས་ཆེན་ཤིན་ཏུ་མི་བཟད་པ། །དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་སེམས་མིན་པ། །དགེ་གཞན་གང་གིས་ཟིལ་གྱིས་གནོན་པར་འགྱུར། །,"Thus virtues are perpetually weak; The powers of misdeeds are terribly dreadful. Besides the wish for perfect enlightenment, What other virtue triumphs over them?","Therefore, virtue is always weak and feeble, While evil is powerful and utterly unbearable. Except for the mind of perfect enlightenment, What other virtue could possibly overcome it?","Therefore, virtue is always feeble, While negativity is mighty and unbearable. Except for the mind of perfect awakening, What other virtue could overcome it?","Therefore, virtue is always weak and feeble, While evil is extremely powerful and unbearable. Except for the mind of perfect enlightenment, What other virtue could overcome it?","Therefore, virtue is always feeble, While negative actions are mighty and utterly unbearable. Except for the mind of perfect enlightenment, What other virtue could possibly overcome them?","Therefore, virtue is always weak, While misdeeds are of great power and extremely frightening. Other than the mind of perfect enlightenment, What other virtue could triumph over them?","Thus virtues remain weak, while misdeeds grow strong, Their power unbearable, a frightening throng. Save for the mind of perfect enlightenment, What other good could triumph over wrong?"
བསྐལ་པ་དུ་མར་རབ་དགོངས་མཛད་པ་ཡི། །ཐུབ་དབང་རྣམས་ཀྱིས་འདི་ཉིད་ཕན་པར་གཟིགས། །འདིས་ནི་ཚད་མེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས། །བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད། །,"The lords of sages, who have contemplated for many aeons, see just this will help. Immeasurable multitudes of beings through this will gain the sublime bliss with ease.","The supreme sages, having contemplated deeply for many eons, Saw that this alone is beneficial. By this, countless multitudes of beings Will easily attain supreme bliss.","The Lords of Sages, who have thoroughly contemplated for many kalpas, Have seen that this very practice is beneficial. By this, immeasurable multitudes of beings Will easily attain supreme bliss.","The mighty sages, contemplating deeply for many eons, Have seen this very thing to be beneficial. Through this, countless multitudes of beings Will easily attain supreme bliss.","The mighty sages, having contemplated deeply for many eons, Saw this very bodhicitta as beneficial. Through this, countless multitudes of beings Easily attain supreme happiness.","The Lords of sages, who have contemplated deeply for many aeons, Have seen this very thing to be of benefit. By this, countless assemblages of beings Will easily achieve sublime bliss.","For aeons countless, sages contemplated, This path they saw as most beneficial. Through this, vast multitudes of beings may Achieve sublime bliss with utmost ease."
སྲིད་པའི་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་། །སེམས་ཅན་མི་བདེ་བསལ་བར་འདོད་པ་དང་། །བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་པར་འདོད་པས་ཀྱང་། །བྱང་ཆུབ་སེམས་ཉིད་རྟག་ཏུ་གཏང་མི་བྱ། །,"No one should ever forsake bodhichitta Who wants to dispel beings' unhappiness, Vanquish the hundreds of miseries of existence, And partake in the many hundreds of joys.","Wishing to destroy the hundreds of sufferings of existence, Desiring to remove the unhappiness of sentient beings, And wishing to experience hundreds of joys, Never abandon the mind of enlightenment.","Wishing to destroy the hundreds of sufferings of existence, Desiring to remove the unhappiness of sentient beings, And wishing to experience hundreds of manifold joys, One should never abandon bodhicitta.","Wishing to destroy the hundred sufferings of existence, Desiring to dispel the unhappiness of beings, And longing to experience hundreds of joys, Never abandon bodhichitta.","Desiring to destroy the hundreds of sufferings of cyclic existence, Wishing to eliminate the distress of sentient beings, And longing to experience hundreds of joys, One should never abandon the mind of enlightenment.","Wishing to destroy hundreds of sufferings of existence, Desiring to remove the discomfort of sentient beings, And wishing to experience hundreds of great joys, One should never abandon bodhichitta.","To vanquish countless woes of existence, To dispel beings' myriad discomforts, To experience abundant joys untold, Never forsake bodhicitta, ever hold."
བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས། །འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས། །བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །,"If they rouse bodhichitta, in an instant the wretched, fettered in samsara's prison, are named the offspring of the sugatas and revered in the worlds of gods and humans.","When the mind of enlightenment is born, in an instant, Those wretched beings bound in the prison of samsara Are called children of the Sugatas, And become worthy of reverence by gods and humans in the world.","When bodhicitta is generated, in an instant, Those wretched ones bound in the prison of samsara Are called offspring of the sugatas, And become worthy of veneration by worldly gods and humans.","When bodhicitta is generated, in an instant, Those wretched beings bound in samsara's prison Are called children of the Sugatas, And become worthy of homage from worldly gods and humans.","When bodhicitta arises, in an instant, Those wretched ones bound in samsara's prison Are called children of the Sugatas, And become worthy of prostration by gods and humans of the world.","When Bodhichitta arises, in an instant, Those wretched ones bound in the prison of Samsara Are called offspring of the Sugatas, And become worthy of reverence by worldly gods and humans.","When bodhicitta is born, in that instant, The wretched, bound in samsara's prison, Are called offspring of the Sugatas, Revered by gods and humans of all worlds."
གསེར་འགྱུར་རྩི་ཡི་རྣམ་པ་མཆོག་ལྟ་བུ། །མི་གཙང་ལུས་འདི་བླངས་ནས་རྒྱལ་བའི་སྐུ། །རིན་ཆེན་རིང་ཐང་མེད་པར་བསྒྱུར་བས་ན། །བྱང་ཆུབ་སེམས་ཞེས་བྱ་བ་རབ་བརྟན་ཟུང་། །,"Just like the greatest kind of alchemy, It takes this unclean body and transforms it Into a priceless jewel, a buddha's body, So firmly grasp ahold of bodhichitta.","Like the supreme form of the alchemical elixir, Taking this impure body and transforming it into the Buddha's form, Transmuting it into something of priceless value, Hold firmly to what is called the mind of enlightenment.","Like the supreme form of an alchemical elixir, Having taken this impure body and transformed it Into the priceless victor's body, Therefore, firmly hold what is called bodhicitta.","Like the supreme form of an alchemical elixir, Taking this impure body and transforming it Into a priceless, precious buddha form - Hold firm to what is called bodhichitta.","Like the supreme form of an alchemical elixir, That transforms this impure body we've taken Into the priceless, precious body of a Victor, Firmly grasp what is called bodhicitta.","Like the supreme form of alchemy, Taking this unclean body and transforming it into the Buddha's body, A priceless jewel, Therefore, firmly hold onto what is called bodhichitta.","Like supreme alchemy's transforming touch, It takes this unclean form and then transmutes To priceless jewel: a Buddha's body pure. So firmly grasp bodhicitta, hold it sure."
